zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8
1,2019,1,1,588,188,164,3768,4112,5417,7772,1225
1,2019,2,1,610,195,170,3904,4260,5612,8052,1269
1,2019,3,1,823,236,230,5272,5753,7579,10869,1713
1,2019,4,1,1053,337,294,6742,7358,9692,13921,2191
1,2019,5,1,1374,439,384,8798,9601,12648,18147,2859
1,2019,6,1,1236,395,346,7910,8632,11371,16315,2571
1,2019,7,1,1258,402,352,8054,8789,11578,16612,2618
1,2019,8,1,1368,437,383,8758,9558,12590,18102,2846
1,2019,9,1,1627,520,455,10417,11368,14975,21468,3386
1,2019,10,1,1161,371,325,7433,8112,10686,15311,2416
1,2019,11,1,1379,441,386,8825,9631,12687,18149,2868
1,2019,12,1,1432,458,400,9164,10001,13174,18902,2979
1,2020,1,1,1334,427,373,8542,9322,11280,17619,2776
1,2020,2,1,1365,7436,382,8736,9533,12558,18018,2839
1,2020,3,1,1438,460,402,9203,10043,13230,18982,2991
1,2020,4,1,1235,395,343,7905,8627,11364,16305,2718
1,2020,5,1,1123,359,314,7187,7843,10332,14824,2336
1,2020,6,1,1230,393,344,7873,8592,11318,16239,2559
1,2020,7,1,1315,420,368,8416,9184,12098,17358,2735
1,2020,8,1,1129,365,319,7313,7981,10513,15084,2377
1,2020,9,1,1034,330,289,6617,7221,9513,13649,2151
1,2020,10,1,997,319,279,6385,6968,9179,13170,2075
1,2020,11,1,787,251,220,5036,5496,7240,10388,1637
1,2020,12,1,928,297,259,5942,6485,8542,12256,1931
1,2021,1,1,1053,337,294,294,6742,7358,9692,2191
1,2021,2,1,967,309,270,270,6194,6758,8903,2012
1,2021,3,1,1436,459,402,402,9194,10032,13215,2987
1,2021,4,1,1275,408,357,357,8165,8909,11736,2653
1,2021,5,1,1028,329,287,287,6582,7183,9462,2139
1,2021,6,1,947,303,265,265,6064,6617,8717,1970
1,2021,7,1,1034,331,289,289,6621,7224,9517,2151
1,2021,8,1,1172,375,328,328,7501,8185,10782,2437
1,2021,9,1,1416,453,396,396,9062,9889,13027,2945
1,2021,10,1,1283,410,359,359,8213,8962,11805,2669
1,2021,11,1,1261,463,353,353,8070,8806,11601,2622
1,2021,12,1,0,0,0,0,0,0,0,0
